text,labels
Taking Off.,Normal
Taking Off.,Normal
Taking Off.,Normal
Taking Off.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Camera Settings Adjusted to ActiveTrack,Normal
Your palm is too far away from the aircraft. Please step closer.,Problem
Your palm is too far away from the aircraft. Please step closer.,Problem
Your palm is too close to the aircraft. Please step farther away.,Problem
PalmControl in Process,Normal
PalmControl in Process,Normal
Your palm is too close to the aircraft. Please step farther away.,Problem
Your palm is too far away from the aircraft. Please step closer.,Problem
Your palm is too close to the aircraft. Please step farther away.,Problem
PalmControl in Process,Normal
PalmControl in Process,Normal
PalmControl in Process,Normal
PalmControl in Process,Normal
Camera Settings Adjusted to ActiveTrack,Normal
Drag a box around or tap a target on screen. Then tap Go.,Normal
Camera Settings Adjusted to ActiveTrack,Normal
Drag a box around or tap a target on screen. Then tap Go.,Normal
Cannot Identify Subject,Problem
Taking Off.,Normal
Taking Off.,Normal
Compass Interference. Temp Max Altitude : 98ft,Problem
Taking Off.,Normal
Taking Off.,Normal
Taking Off.,Normal
Taking Off.,Normal
Taking Off.,Normal
Taking Off.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Obstacle Avoidance will be disabled in landing.,Normal
Taking Off.,Normal
Taking Off.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Obstacle Avoided. Revise Flight Route,Problem
Take off and retry this function.,Problem
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Problem
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Problem
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Problem
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Problem
Battery temperature is below 15 degrees Celsius. Warm up the battery temperature to above 25 degree Celsius to ensure a safe flight.,Problem
Return-to-Home Altitude : 65FT,Normal
Taking Off.,Normal
Landing Gear Raising.,Normal
Landing Gear Raised.,Normal
Landing.,Normal
Landing Gear Lowering.,Normal
Landing Gear Lowered.,Normal
Data Recorder File Index is 13.,Normal
Battery temperature is below 15 degrees Celsius. Warm up the battery temperature to above 25 degree Celsius to ensure a safe flight.,Problem
RTH Altitude : 65FT.,Normal
Taking off.,Normal
Landing Gear Raising.,Normal
Landing Gear Raised.,Normal
Landing.,Normal
Landing Gear Lowering.,Normal
Landing Gear Lowered.,Normal
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Problem
Home Point Recorded.,Normal
Home Point Recorded.,Normal
Return-to-Home Altitude : 65FT,Normal
Landing Gear Raising.,Normal
Landing Gear Raised.,Normal
Landing Gear Lowering.,Normal
Landing Gear Lowered.,Normal
Landing Gear Raising.,Normal
Landing Gear Paused.,Normal
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Problem
Data Recorder File Index is 21.,Normal
Home Point Recorded.,Normal
Home Point Updated.,Normal
RTH Altitude : 65FT.,Normal
Landing Gear Raising.,Normal
Landing Gear Raised.,Normal
Downlink Lost.,Problem
Landing Gear Lowering.,Normal
Landing Gear Lowered.,Normal
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Problem
Home Point Recorded.,Normal
Home Point Recorded.,Normal
Landing Gear Raising.,Normal
Landing Gear Raised.,Normal
Landing Gear Lowering.,Normal
Landing Gear Lowered.,Normal
Landing Gear Raising.,Normal
Landing Gear Paused.,Normal
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",Problem
Landing Gear Raising.,Normal
Landing Gear Raised.,Normal
Command Timeout,Problem
Low Power. Aircraft is returning to the Home Point.,Problem
Low Power. Aircraft is returning to the Home Point.,Problem
Landing Gear Lowering.,Normal
Landing Gear Lowered.,Normal
Landing Gear Raising.,Normal
Landing Gear Raised.,Normal
Command Timeout,Problem
Low Power. Aircraft is returning to the Home Point.,Problem
Low Power. Aircraft is returning to the Home Point.,Problem
Landing Gear Lowering.,Normal
Landing Gear Lowered.,Normal
Data Recorder File Index is 8.,Normal
Home Point Updated.,Normal
Exited Visual Avoidance System.,Normal
Motors Started.,Normal
Landing Gear Raising.,Normal
Landing Gear Raised.,Normal
Aircraft is returning to the Home Point. Minimum RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,Normal
Landing Gear Lowering.,Normal
Landing Gear Lowered.,Normal
Strong wireless interference. Please fly with caution. Obstacle Avoidance Disabled. Landing gear lowered. Obstacle Avoidance Disabled.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
Strong wireless interference. Please fly with caution.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
Strong wireless interference. Please fly with caution.,Problem
Obstacle Avoidance Disabled. Landing gear lowered. Obstacle Avoidance Disabled.,Normal
Data Recorder File Index is 8.,Normal
Obstacle Avoidance Disabled. Landing gear lowered. Obstacle Avoidance Disabled.,Normal
Strong wireless interference. Please fly with caution.,Problem
Strong wireless interference. Please fly with caution.,Problem
Obstacle Avoidance Disabled.,Normal
Landing gear lowered. Obstacle Avoidance Disabled.,Normal
Landing Gear Raising.,Normal
Landing Gear Raised.,Normal
Motors Started.,Normal
Strong wireless interference. Please fly with caution.,Problem
Strong wireless interference. Please fly with caution.,Problem
Landing Gear Lowering.,Normal
Landing Gear Lowered.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Landing gear lowered. Obstacle Avoidance Disabled.,Normal
Aircraft is returning to the Home Point. Minimum RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH.,Normal
Obstacle Avoidance will be disabled in landing.,Normal
Landing gear lowered. Obstacle Avoidance Disabled.,Normal
Landing Protection Activated. Aircraft will decelerate during landing.,Normal
Ground Plain. Safe to Land.,Normal
Taking Off.,Normal
Taking Off.,Normal
Home Point Recorded. RTH Altitude : 30m.,Normal
Fly with caution and ensure the aircraft remains within your line of sight.,Problem
Fly with caution and ensure the aircraft remains within your line of sight.,Problem
Image Transmission Recovered. Aircraft is returning home.,Normal
Obstacle Avoidance will be disabled in landing.,Normal
Landing gear lowered. Obstacle Avoidance Disabled.,Normal
Landing Protection Activated. Aircraft will decelerate during landing.,Normal
Ground Plain. Safe to Land.,Normal
Strong wireless interference. Please fly with caution.,Problem
Strong wireless interference. Please fly with caution.,Problem
Motors Started.,Normal
Obstacle Avoidance Disabled.,Normal
Landing gear lowered. Obstacle Avoidance Disabled.,Normal
Landing Gear Raising.,Normal
"Home Point Recorded, Return-to-Home Altitude : 98FT",Normal
Landing Gear Raised.,Normal
Strong wireless interference. Please fly with caution.,Problem
Strong wireless interference. Please fly with caution.,Problem
Large Wind Velocity. Fly with caution.,Problem
Large Wind Velocity. Fly with caution.,Problem
Large Wind Velocity. Fly with caution.,Problem
Magnetic Filed Interference. Exit P-GPS Mode,Problem
Data Recorder File Index is 5.,Normal
Motors Started.,Normal
Motors Started.,Normal
Downlink Lost.,Problem
Downlink Restored (after 0m 1.5s).,Normal
Obstacle Avoidance Disabled. Landing gear lowered. Obstacle Avoidance Disabled.,Normal
Landing Gear Raising. Home Point Recorded,Normal
Return-to-Home Altitude : 98FT.,Normal
Home Point Updated.,Normal
Landing Gear Raised.,Normal
Strong wireless interference. Please fly with caution.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
Strong wireless interference. Please fly with caution.,Problem
Downlink Lost.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
GPS Position Mismatch.,Problem
Large Wind Velocity.,Problem
