sep=,
CUSTOM.date [local], CUSTOM.updateTime [local], OSD.flyTime, OSD.flyTime [s], OSD.latitude, OSD.longitude, OSD.height [ft], OSD.heightMax [ft], OSD.vpsHeight [ft], OSD.altitude [ft], OSD.hSpeed [MPH], OSD.hSpeedMax [MPH], OSD.xSpeed [MPH], OSD.xSpeedMax [MPH], OSD.ySpeed [MPH], OSD.ySpeedMax [MPH], OSD.zSpeed [MPH], OSD.zSpeedMax [MPH], OSD.pitch, OSD.roll, OSD.yaw, OSD.yaw [360], OSD.flycState, OSD.flycCommand, OSD.flightAction, OSD.gpsNum, OSD.gpsLevel, OSD.isGPSUsed, OSD.nonGPSCause, OSD.droneType, OSD.isSwaveWork, OSD.waveError, OSD.goHomeStatus, OSD.batteryType, OSD.ctrlDevice, OSD.isOnGround, OSD.isMotorOn, OSD.isMotorBlocked, OSD.motorStartFailedCause, OSD.motorFailReason, OSD.isImuPreheated, OSD.imuInitFailReason, OSD.isAcceletorOverRange, OSD.isBarometerDeadInAir, OSD.isCompassError, OSD.isGoHomeHeightModified, OSD.canIOCWork, OSD.isNotEnoughForce, OSD.isOutOfLimit, OSD.isPropellerCatapult, OSD.isVibrating, OSD.isVisionUsed, OSD.voltageWarning, GIMBAL.mode, GIMBAL.pitch, GIMBAL.roll, GIMBAL.yaw, GIMBAL.yaw [360], GIMBAL.isPitchAtLimit, GIMBAL.isRollAtLimit, GIMBAL.isYawAtLimit, GIMBAL.isStuck, CAMERA.isPhoto, CAMERA.isVideo, CAMERA.filename, CAMERA.sdCardIsInserted, CAMERA.sdCardState, RC.downlinkSignal, RC.uplinkSignal, RC.aileron, RC.elevator, RC.throttle, RC.rudder, RC.mode, RC.goHomeDepressed, RC.recordDepressed, RC.shutterDepressed, RC.playbackDepressed, RC.wheelDepressed, RC.wheelOffset, RC.custom1Depressed, RC.custom2Depressed, RC.custom3Depressed, RC.custom4Depressed, BATTERY.chargeLevel, BATTERY.currentPV [V], BATTERY.currentCapacity [mAh], BATTERY.fullCapacity [mAh], BATTERY.voltage [V], BATTERY.isCellVoltageEstimated, BATTERY.cellVoltage1 [V], BATTERY.cellVoltage2 [V], BATTERY.cellVoltage3 [V], BATTERY.cellVoltage4 [V], BATTERY.cellVoltage5 [V], BATTERY.cellVoltage6 [V], BATTERY.maxCellVoltageDeviation, BATTERY.isCellVoltageDeviationHigh, BATTERY.isVoltageLow, BATTERY.current [A], BATTERY.temperature [F], BATTERY.minTemperature [F], BATTERY.maxTemperature [F], BATTERY.usefulTime [s], BATTERY.goHomeTime [s], BATTERY.landTime [s], BATTERY.goHomeBattery, BATTERY.landBattery, BATTERY.safeFlyRadius, BATTERY.volumeConsume, BATTERY.status, BATTERY.goHomeStatus, BATTERY.goHomeCountdown, BATTERY.lowWarning, BATTERY.lowWarningGoHome, BATTERY.seriousLowWarning, BATTERY.seriousLowWarningLanding, BATTERY.timesCharged, MC.failSafeAction, HOME.latitude, HOME.longitude, HOME.distance [ft], HOME.height [ft], HOME.heightLimit [ft], HOME.isHomeRecord, HOME.goHomeMode, HOME.aircraftHeadDirection, HOME.isDynamicHomePointEnabled, HOME.isReachedLimitDistance, HOME.isReachedLimitHeight, HOME.isCompassCeleing, HOME.compassCeleStatus, HOME.isMultipleFlightModeEnabled, HOME.isBeginnerMode, HOME.isIOCEnabled, HOME.iocMode, HOME.goHomeHeight [ft], HOME.courseLockAngle, HOME.forceLandingHeight [ft], HOME.wind, HOME.dataRecorderFileIndex, RECOVER.appType, RECOVER.appVersion, RECOVER.aircraftName, RECOVER.aircraftSerial, RECOVER.cameraSerial, RECOVER.rcSerial, RECOVER.batterySerial, DETAILS.totalTime [s], DETAILS.totalDistance [ft], DETAILS.maxHeight [ft], DETAILS.maxHorizontalSpeed [MPH], DETAILS.maxVerticalSpeed [MPH], DETAILS.photoNum, DETAILS.videoTime [s], DETAILS.aircraftName, DETAILS.aircraftSerial, DETAILS.cameraSerial, DETAILS.rcSerial, DETAILS.batterySerial, DETAILS.appName, DETAILS.appType, DETAILS.appVersion, APPGPS.latitude, APPGPS.longitude, APPGPS.accuracy, APP.message, APP.tip, APP.warning
8/3/2017,9:59:25.87 PM,0m 1.0s,1.0,39.96130882,-106.21629315,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.4,-0.9,-95.1,264.9,P-GPS,Other,Takeoff (RC Assisted),11,4,True,,Inspire 1,True,False,,Smart,RC,False,True,False,,Other (171),True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,-88.9,271.1,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,1,False,False,False,False,False,0,False,False,False,False,100,25.996,4455,4455,25.894,False,4.331,4.332,4.332,4.336,4.335,4.33,0.006,False,False,64.715,74.8,74.8,74.8,0,0,0,19,14,0.0,0.00,,Idle,0,30,False,10,True,3,Go Home,39.96130508,-106.21627928,4.1,8135.6,,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,,,Calm,21,Android, 3.1.8,snow flake,0410056616,,03LJC25548,6781073611,598.84,13203.3,129.6,48.6,9.6,0,0,snow flake,0410056616,,03LJC25548,6781073611,,Android, 3.1.8,,,,Data Recorder File Index is 21.,,
8/3/2017,9:59:26.10 PM,0m 1.2s,1.2,39.96130883,-106.21629317,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.4,-0.9,-95.1,264.9,P-GPS,Other,Takeoff (RC Assisted),11,4,True,,Inspire 1,True,False,,Smart,RC,False,True,False,,Other (226),True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,-88.9,271.1,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,1,False,False,False,False,False,0,False,False,False,False,100,25.996,4455,4455,25.894,False,4.331,4.332,4.332,4.336,4.335,4.33,0.006,False,False,64.715,74.8,74.8,74.8,0,0,0,19,14,0.0,0.00,,Idle,0,30,False,10,True,3,Go Home,39.96130508,-106.21627928,4.1,8135.6,,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,,,Calm,21,Android, 3.1.8,snow flake,0410056616,,03LJC25548,6781073611,598.84,13203.3,129.6,48.6,9.6,0,0,snow flake,0410056616,,03LJC25548,6781073611,,Android, 3.1.8,,,,,,
8/3/2017,9:59:26.20 PM,0m 1.3s,1.3,39.96130883,-106.21629307,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.4,-0.9,-95.2,264.8,P-GPS,Other,Takeoff (RC Assisted),11,4,True,,Inspire 1,True,False,,Smart,RC,False,True,False,,Other (226),True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,-88.9,271.1,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,1,False,False,False,False,False,0,False,False,False,False,100,25.996,4455,4455,25.894,False,4.331,4.332,4.332,4.336,4.335,4.33,0.006,False,False,64.715,74.8,74.8,74.8,0,0,0,19,14,0.0,0.00,,Idle,0,30,False,10,True,3,Go Home,39.96130508,-106.21627928,4.1,8135.6,,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,,,Calm,21,Android, 3.1.8,snow flake,0410056616,,03LJC25548,6781073611,598.84,13203.3,129.6,48.6,9.6,0,0,snow flake,0410056616,,03LJC25548,6781073611,,Android, 3.1.8,,,,,,
8/3/2017,9:59:26.31 PM,0m 1.4s,1.4,39.96130884,-106.2162931,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.3,-0.9,-95.2,264.8,P-GPS,Other,Takeoff (RC Assisted),11,4,True,,Inspire 1,True,False,,Smart,RC,False,True,False,,Other (226),True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,-88.9,271.1,False,False,False,False,False,False,,True,Normal,,,364,364,578,1543,1,False,False,False,False,False,0,False,False,False,False,100,25.996,4455,4455,25.894,False,4.331,4.332,4.332,4.336,4.335,4.33,0.006,False,False,64.715,74.8,74.8,74.8,0,0,0,19,14,0.0,0.00,,Idle,0,30,False,10,True,3,Go Home,39.96130508,-106.21627928,4.1,8135.6,,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,,,Calm,21,Android, 3.1.8,snow flake,0410056616,,03LJC25548,6781073611,598.84,13203.3,129.6,48.6,9.6,0,0,snow flake,0410056616,,03LJC25548,6781073611,,Android, 3.1.8,,,,,,
8/3/2017,9:59:26.41 PM,0m 1.5s,1.5,39.96130884,-106.21629298,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.4,-0.9,-95.2,264.8,P-GPS,Other,Takeoff (RC Assisted),11,4,True,,Inspire 1,True,False,,Smart,RC,False,True,False,,Other (226),True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,-89.4,270.6,False,False,False,False,False,False,,True,Normal,,,798,712,942,1024,1,False,False,False,False,False,0,False,False,False,False,100,25.996,4455,4455,25.894,False,4.331,4.332,4.332,4.336,4.335,4.33,0.006,False,False,64.715,74.8,74.8,74.8,0,0,0,19,14,0.0,0.00,,Idle,0,30,False,10,True,3,Go Home,39.96130508,-106.21627928,4.1,8135.6,,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,,,Calm,21,Android, 3.1.8,snow flake,0410056616,,03LJC25548,6781073611,598.84,13203.3,129.6,48.6,9.6,0,0,snow flake,0410056616,,03LJC25548,6781073611,,Android, 3.1.8,,,,,,
8/3/2017,9:59:26.61 PM,0m 1.6s,1.6,39.96130884,-106.21629298,0,0,0.3,8128,2.1,2.1,0,0,0,0,0,0,0.3,-0.9,-95.2,264.8,P-GPS,Other,Takeoff (RC Assisted),11,4,True,,Inspire 1,True,False,,Smart,RC,False,True,False,,Other (226),True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,-91.2,268.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,100,25.996,4455,4455,25.894,False,4.331,4.332,4.332,4.336,4.335,4.33,0.006,False,False,64.715,74.8,74.8,74.8,0,0,0,19,14,0.0,0.00,,Idle,0,30,False,10,True,3,Go Home,39.96130508,-106.21627928,4.1,8135.6,,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,,,Calm,21,Android, 3.1.8,snow flake,0410056616,,03LJC25548,6781073611,598.84,13203.3,129.6,48.6,9.6,0,0,snow flake,0410056616,,03LJC25548,6781073611,,Android, 3.1.8,,,,,Home Point Recorded.,
8/3/2017,9:59:26.71 PM,0m 1.8s,1.8,39.96130894,-106.21629297,0,0,0.3,8128,0,2.1,0,0,0,0,0,0,0.3,-0.9,-95.1,264.9,P-GPS,Other,Takeoff (RC Assisted),11,4,True,,Inspire 1,True,False,,Smart,RC,False,True,False,,Other (226),True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,-92.7,267.3,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,100,25.996,4455,4455,25.894,False,4.331,4.332,4.332,4.336,4.335,4.33,0.006,False,False,64.715,74.8,74.8,74.8,0,0,0,19,14,0.0,0.00,,Idle,0,30,False,10,True,3,Go Home,39.96130508,-106.21627928,4.1,8135.6,,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,,,Calm,21,Android, 3.1.8,snow flake,0410056616,,03LJC25548,6781073611,598.84,13203.3,129.6,48.6,9.6,0,0,snow flake,0410056616,,03LJC25548,6781073611,,Android, 3.1.8,,,,,,
8/3/2017,9:59:26.82 PM,0m 1.9s,1.9,39.96130894,-106.21629288,0,0,0.3,8128,0,2.1,0,0,0,0,0,0,0.3,-0.9,-95.1,264.9,P-GPS,Other,Takeoff (RC Assisted),11,4,True,,Inspire 1,True,False,,Smart,RC,False,True,False,,Other (226),True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,-93,267,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,100,25.996,4455,4455,25.894,False,4.331,4.332,4.332,4.336,4.335,4.33,0.006,False,False,64.715,74.8,74.8,74.8,0,0,0,19,14,0.0,0.00,,Idle,0,30,False,10,True,3,Go Home,39.96130508,-106.21627928,4.0,8135.6,,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,,,Calm,21,Android, 3.1.8,snow flake,0410056616,,03LJC25548,6781073611,598.84,13203.3,129.6,48.6,9.6,0,0,snow flake,0410056616,,03LJC25548,6781073611,,Android, 3.1.8,,,,,,
8/3/2017,9:59:26.92 PM,0m 2.0s,2.0,39.96130895,-106.21629288,0,0,0.3,8128,0,2.1,0,0,0,0,0,0,0.3,-0.9,-95,265,Manual Takeoff,Other,Takeoff (RC Assisted),11,4,True,,Inspire 1,True,False,,Smart,RC,False,True,False,,Other (226),True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,-93.2,266.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,100,25.996,4455,4455,25.894,False,4.331,4.332,4.332,4.337,4.335,4.33,0.007,False,False,64.715,74.8,74.8,74.8,0,0,0,19,14,0.0,0.00,,Idle,0,30,False,10,True,3,Go Home,39.96130863,-106.21629338,0.0,8135.6,,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,,,Calm,21,Android, 3.1.8,snow flake,0410056616,,03LJC25548,6781073611,598.84,13203.3,129.6,48.6,9.6,0,0,snow flake,0410056616,,03LJC25548,6781073611,,Android, 3.1.8,,,,Home Point Updated.,,
8/3/2017,9:59:27.03 PM,0m 2.1s,2.1,39.96130896,-106.21629289,0,0,0.3,8128,0,2.1,0,0,0,0,0,0,0.4,-0.9,-95,265,Manual Takeoff,Other,Takeoff (RC Assisted),11,4,True,,Inspire 1,True,False,,Smart,RC,False,True,False,,Other (24),True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,-93.3,266.7,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,100,25.996,4455,4455,25.894,False,4.331,4.332,4.332,4.337,4.335,4.33,0.007,False,False,64.715,74.8,74.8,74.8,0,0,0,19,14,0.0,0.00,,Idle,0,30,False,10,True,3,Go Home,39.96130863,-106.21629338,0.0,8135.6,,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,,,Calm,21,Android, 3.1.8,snow flake,0410056616,,03LJC25548,6781073611,598.84,13203.3,129.6,48.6,9.6,0,0,snow flake,0410056616,,03LJC25548,6781073611,,Android, 3.1.8,,,,,,
