sep=,
CUSTOM.date [local], CUSTOM.updateTime [local], OSD.flyTime, OSD.flyTime [s], OSD.latitude, OSD.longitude, OSD.height [ft], OSD.heightMax [ft], OSD.vpsHeight [ft], OSD.altitude [ft], OSD.hSpeed [MPH], OSD.hSpeedMax [MPH], OSD.xSpeed [MPH], OSD.xSpeedMax [MPH], OSD.ySpeed [MPH], OSD.ySpeedMax [MPH], OSD.zSpeed [MPH], OSD.zSpeedMax [MPH], OSD.pitch, OSD.roll, OSD.yaw, OSD.yaw [360], OSD.flycState, OSD.flycCommand, OSD.flightAction, OSD.gpsNum, OSD.gpsLevel, OSD.isGPSUsed, OSD.nonGPSCause, OSD.droneType, OSD.isSwaveWork, OSD.waveError, OSD.goHomeStatus, OSD.batteryType, OSD.ctrlDevice, OSD.isOnGround, OSD.isMotorOn, OSD.isMotorBlocked, OSD.motorStartFailedCause, OSD.motorFailReason, OSD.isImuPreheated, OSD.imuInitFailReason, OSD.isAcceletorOverRange, OSD.isBarometerDeadInAir, OSD.isCompassError, OSD.isGoHomeHeightModified, OSD.canIOCWork, OSD.isNotEnoughForce, OSD.isOutOfLimit, OSD.isPropellerCatapult, OSD.isVibrating, OSD.isVisionUsed, OSD.voltageWarning, GIMBAL.mode, GIMBAL.pitch, GIMBAL.roll, GIMBAL.yaw, GIMBAL.yaw [360], GIMBAL.isPitchAtLimit, GIMBAL.isRollAtLimit, GIMBAL.isYawAtLimit, GIMBAL.isStuck, CAMERA.isPhoto, CAMERA.isVideo, CAMERA.filename, CAMERA.sdCardIsInserted, CAMERA.sdCardState, RC.downlinkSignal, RC.uplinkSignal, RC.aileron, RC.elevator, RC.throttle, RC.rudder, RC.mode, RC.goHomeDepressed, RC.recordDepressed, RC.shutterDepressed, RC.playbackDepressed, RC.wheelDepressed, RC.wheelOffset, RC.custom1Depressed, RC.custom2Depressed, RC.custom3Depressed, RC.custom4Depressed, BATTERY.chargeLevel, BATTERY.currentPV [V], BATTERY.currentCapacity [mAh], BATTERY.fullCapacity [mAh], BATTERY.voltage [V], BATTERY.isCellVoltageEstimated, BATTERY.cellVoltage1 [V], BATTERY.cellVoltage2 [V], BATTERY.cellVoltage3 [V], BATTERY.cellVoltage4 [V], BATTERY.cellVoltage5 [V], BATTERY.cellVoltage6 [V], BATTERY.maxCellVoltageDeviation, BATTERY.isCellVoltageDeviationHigh, BATTERY.isVoltageLow, BATTERY2.cellVoltage1 [V], BATTERY2.cellVoltage2 [V], BATTERY2.cellVoltage3 [V], BATTERY2.cellVoltage4 [V], BATTERY2.cellVoltage5 [V], BATTERY2.cellVoltage6 [V], BATTERY2.maxCellVoltageDeviation, BATTERY2.isCellVoltageDeviationHigh, BATTERY2.isVoltageLow, BATTERY.current [A], BATTERY.temperature [F], BATTERY.minTemperature [F], BATTERY.maxTemperature [F], BATTERY.usefulTime [s], BATTERY.goHomeTime [s], BATTERY.landTime [s], BATTERY.goHomeBattery, BATTERY.landBattery, BATTERY.safeFlyRadius, BATTERY.volumeConsume, BATTERY.status, BATTERY.goHomeStatus, BATTERY.goHomeCountdown, BATTERY.lowWarning, BATTERY.lowWarningGoHome, BATTERY.seriousLowWarning, BATTERY.seriousLowWarningLanding, MC.failSafeAction, HOME.latitude, HOME.longitude, HOME.distance [ft], HOME.height [ft], HOME.heightLimit [ft], HOME.isHomeRecord, HOME.goHomeMode, HOME.aircraftHeadDirection, HOME.isDynamicHomePointEnabled, HOME.isReachedLimitDistance, HOME.isReachedLimitHeight, HOME.isCompassCeleing, HOME.compassCeleStatus, HOME.isMultipleFlightModeEnabled, HOME.isBeginnerMode, HOME.isIOCEnabled, HOME.iocMode, HOME.goHomeHeight [ft], HOME.courseLockAngle, HOME.forceLandingHeight [ft], HOME.wind, HOME.dataRecorderFileIndex, RECOVER.appType, RECOVER.appVersion, RECOVER.aircraftName, RECOVER.aircraftSerial, RECOVER.cameraSerial, RECOVER.rcSerial, RECOVER.batterySerial, DETAILS.totalTime [s], DETAILS.totalDistance [ft], DETAILS.maxHeight [ft], DETAILS.maxHorizontalSpeed [MPH], DETAILS.maxVerticalSpeed [MPH], DETAILS.photoNum, DETAILS.videoTime [s], DETAILS.aircraftName, DETAILS.aircraftSerial, DETAILS.cameraSerial, DETAILS.rcSerial, DETAILS.batterySerial, DETAILS.appName, DETAILS.appType, DETAILS.appVersion, APPGPS.latitude, APPGPS.longitude, APPGPS.accuracy, APP.message, APP.tip, APP.warning
6/20/2018,10:10:25.17 PM,0m 0.5s,0.5,39.96120033,-106.2164799,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.7,0,-111.4,248.6,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,-0.7,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,2,False,False,False,False,False,0,False,False,False,False,,,,,25.613,False,4.271,4.27,4.27,4.273,4.272,4.257,0.016,False,False,4.272,4.274,4.275,4.282,4.274,4.284,0.012,False,False,,,,,,,,,,,,,Idle,,,True,,False,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,, 4.5.0,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,520.5,6398.0,319.2,36.2,11.4,0,465,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,,, 4.5.0,,,,,,
6/20/2018,10:10:25.27 PM,0m 0.6s,0.6,39.96120033,-106.21647994,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.7,0,-111.4,248.6,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,-0.7,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,2,False,False,False,False,False,0,False,False,False,False,,,,,25.613,False,4.271,4.27,4.27,4.273,4.272,4.257,0.016,False,False,4.272,4.274,4.275,4.282,4.274,4.284,0.012,False,False,,,,,,,,,,,,,Idle,,,True,,False,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,, 4.5.0,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,520.5,6398.0,319.2,36.2,11.4,0,465,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,,, 4.5.0,,,,,,
6/20/2018,10:10:25.37 PM,0m 0.7s,0.7,39.96120031,-106.21648005,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.7,0,-111.4,248.6,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,-0.7,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,2,False,False,False,False,False,0,False,False,False,False,,,,,25.613,False,4.271,4.27,4.27,4.273,4.272,4.257,0.016,False,False,4.272,4.274,4.275,4.282,4.274,4.284,0.012,False,False,,,,,,,,,,,,,Idle,,,True,,False,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,, 4.5.0,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,520.5,6398.0,319.2,36.2,11.4,0,465,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,,, 4.5.0,,,,,,
6/20/2018,10:10:25.47 PM,0m 0.8s,0.8,39.96120032,-106.21648005,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.6,0,-111.4,248.6,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,-0.7,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,2,False,False,False,False,False,0,False,False,False,False,96,,,,25.6,False,4.271,4.27,4.27,4.273,4.272,4.257,0.016,False,False,4.272,4.274,4.275,4.282,4.274,4.284,0.012,False,False,,,,,0,0,0,0,0,0.0,1762.48,,Idle,0,20,False,10,True,Go Home,39.96118628,-106.21648437,5.3,8197.7,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,23.0,Calm,17,, 4.5.0,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,520.5,6398.0,319.2,36.2,11.4,0,465,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,,, 4.5.0,,,,Data Recorder File Index is 17.,,
6/20/2018,10:10:25.57 PM,0m 0.9s,0.9,39.96120037,-106.21648002,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.6,0,-111.4,248.6,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,-0.7,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,2,False,False,False,False,False,0,False,False,False,False,96,,,,25.6,False,4.271,4.27,4.27,4.273,4.272,4.257,0.016,False,False,4.272,4.274,4.275,4.282,4.274,4.284,0.012,False,False,,,,,0,0,0,0,0,0.0,1762.48,,Idle,0,20,False,10,True,Go Home,39.96118628,-106.21648437,5.3,8197.7,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,23.0,Calm,17,, 4.5.0,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,520.5,6398.0,319.2,36.2,11.4,0,465,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,,, 4.5.0,,,,,,
6/20/2018,10:10:25.59 PM,0m 1.0s,1.0,39.96120039,-106.21648,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.6,0,-111.4,248.6,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,-1.1,-111.4,248.6,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,2,False,False,False,False,False,0,False,False,False,False,96,,,,25.6,False,4.271,4.27,4.27,4.273,4.272,4.257,0.016,False,False,4.272,4.274,4.275,4.282,4.274,4.284,0.012,False,False,,,,,0,0,0,0,0,0.0,1762.48,,Idle,0,20,False,10,True,Go Home,39.96118628,-106.21648437,5.3,8197.7,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,23.0,Calm,17,, 4.5.0,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,520.5,6398.0,319.2,36.2,11.4,0,465,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,,, 4.5.0,,,,,,
6/20/2018,10:10:25.78 PM,0m 1.1s,1.1,39.96120044,-106.21647989,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.6,0,-111.4,248.6,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,-0.7,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,2,False,False,False,False,False,0,False,False,False,False,96,,,,25.6,False,4.271,4.27,4.27,4.273,4.272,4.257,0.016,False,False,4.272,4.275,4.274,4.282,4.274,4.284,0.012,False,False,,,,,0,0,0,0,0,0.0,1762.48,,Idle,0,20,False,10,True,Go Home,39.96118628,-106.21648437,5.3,8197.7,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,23.0,Calm,17,, 4.5.0,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,520.5,6398.0,319.2,36.2,11.4,0,465,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,,, 4.5.0,,,,,,
6/20/2018,10:10:25.88 PM,0m 1.2s,1.2,39.96120044,-106.21647986,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.6,0,-111.4,248.6,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,-1.1,-111.3,248.7,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,2,False,False,False,False,False,0,False,False,False,False,96,,,,25.6,False,4.271,4.27,4.27,4.273,4.272,4.257,0.016,False,False,4.272,4.275,4.274,4.282,4.274,4.284,0.012,False,False,,,,,0,0,0,0,0,0.0,1762.48,,Idle,0,20,False,10,True,Go Home,39.96118628,-106.21648437,5.3,8197.7,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,23.0,Calm,17,, 4.5.0,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,520.5,6398.0,319.2,36.2,11.4,0,465,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,,, 4.5.0,,,,,,
6/20/2018,10:10:25.98 PM,0m 1.3s,1.3,39.96120043,-106.21647984,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.6,0,-111.4,248.6,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,-0.7,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,2,False,False,False,False,False,0,False,False,False,False,96,,,,25.6,False,4.271,4.27,4.27,4.273,4.272,4.257,0.016,False,False,4.272,4.275,4.274,4.282,4.274,4.284,0.012,False,False,,,,,0,0,0,0,0,0.0,1762.48,,Idle,0,20,False,10,True,Go Home,39.96118628,-106.21648437,5.3,8197.7,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,23.0,Calm,17,, 4.5.0,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,520.5,6398.0,319.2,36.2,11.4,0,465,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,,, 4.5.0,,,,,,
6/20/2018,10:10:26.08 PM,0m 1.4s,1.4,39.96120042,-106.21647982,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.6,0,-111.4,248.6,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,-0.7,0,-111.2,248.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,2,False,False,False,False,False,0,False,False,False,False,96,,,,25.6,False,4.271,4.27,4.27,4.273,4.272,4.257,0.016,False,False,4.272,4.275,4.274,4.282,4.274,4.284,0.012,False,False,,,,,0,0,0,0,0,0.0,1762.48,,Idle,0,20,False,10,True,Go Home,39.96118628,-106.21648437,5.3,8197.7,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,23.0,Calm,17,, 4.5.0,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,520.5,6398.0,319.2,36.2,11.4,0,465,DF059,095XF1800201C0,09CLF2800600NB,0JFJ4006F4,0KPAF1T23100U1,,, 4.5.0,,,,,,
