sep=,
CUSTOM.date [local], CUSTOM.updateTime [local], OSD.flyTime, OSD.flyTime [s], OSD.latitude, OSD.longitude, OSD.height [ft], OSD.heightMax [ft], OSD.vpsHeight [ft], OSD.altitude [ft], OSD.hSpeed [MPH], OSD.hSpeedMax [MPH], OSD.xSpeed [MPH], OSD.xSpeedMax [MPH], OSD.ySpeed [MPH], OSD.ySpeedMax [MPH], OSD.zSpeed [MPH], OSD.zSpeedMax [MPH], OSD.pitch, OSD.roll, OSD.yaw, OSD.yaw [360], OSD.flycState, OSD.flycCommand, OSD.flightAction, OSD.gpsNum, OSD.gpsLevel, OSD.isGPSUsed, OSD.nonGPSCause, OSD.droneType, OSD.isSwaveWork, OSD.waveError, OSD.goHomeStatus, OSD.batteryType, OSD.ctrlDevice, OSD.isOnGround, OSD.isMotorOn, OSD.isMotorBlocked, OSD.motorStartFailedCause, OSD.motorFailReason, OSD.isImuPreheated, OSD.imuInitFailReason, OSD.isAcceletorOverRange, OSD.isBarometerDeadInAir, OSD.isCompassError, OSD.isGoHomeHeightModified, OSD.canIOCWork, OSD.isNotEnoughForce, OSD.isOutOfLimit, OSD.isPropellerCatapult, OSD.isVibrating, OSD.isVisionUsed, OSD.voltageWarning, GIMBAL.mode, GIMBAL.pitch, GIMBAL.roll, GIMBAL.yaw, GIMBAL.yaw [360], GIMBAL.isPitchAtLimit, GIMBAL.isRollAtLimit, GIMBAL.isYawAtLimit, GIMBAL.isStuck, CAMERA.isPhoto, CAMERA.isVideo, CAMERA.filename, CAMERA.sdCardIsInserted, CAMERA.sdCardState, RC.downlinkSignal, RC.uplinkSignal, RC.aileron, RC.elevator, RC.throttle, RC.rudder, RC.mode, RC.goHomeDepressed, RC.recordDepressed, RC.shutterDepressed, RC.playbackDepressed, RC.wheelDepressed, RC.wheelOffset, RC.custom1Depressed, RC.custom2Depressed, RC.custom3Depressed, RC.custom4Depressed, BATTERY.chargeLevel, BATTERY.currentPV [V], BATTERY.currentCapacity [mAh], BATTERY.fullCapacity [mAh], BATTERY.voltage [V], BATTERY.isCellVoltageEstimated, BATTERY.cellVoltage1 [V], BATTERY.cellVoltage2 [V], BATTERY.cellVoltage3 [V], BATTERY.cellVoltage4 [V], BATTERY.cellVoltage5 [V], BATTERY.cellVoltage6 [V], BATTERY.maxCellVoltageDeviation, BATTERY.isCellVoltageDeviationHigh, BATTERY.isVoltageLow, BATTERY2.cellVoltage1 [V], BATTERY2.cellVoltage2 [V], BATTERY2.cellVoltage3 [V], BATTERY2.cellVoltage4 [V], BATTERY2.cellVoltage5 [V], BATTERY2.cellVoltage6 [V], BATTERY2.maxCellVoltageDeviation, BATTERY2.isCellVoltageDeviationHigh, BATTERY2.isVoltageLow, BATTERY.current [A], BATTERY.temperature [F], BATTERY.minTemperature [F], BATTERY.maxTemperature [F], BATTERY.usefulTime [s], BATTERY.goHomeTime [s], BATTERY.landTime [s], BATTERY.goHomeBattery, BATTERY.landBattery, BATTERY.safeFlyRadius, BATTERY.volumeConsume, BATTERY.status, BATTERY.goHomeStatus, BATTERY.goHomeCountdown, BATTERY.lowWarning, BATTERY.lowWarningGoHome, BATTERY.seriousLowWarning, BATTERY.seriousLowWarningLanding, MC.failSafeAction, HOME.latitude, HOME.longitude, HOME.distance [ft], HOME.height [ft], HOME.heightLimit [ft], HOME.isHomeRecord, HOME.goHomeMode, HOME.aircraftHeadDirection, HOME.isDynamicHomePointEnabled, HOME.isReachedLimitDistance, HOME.isReachedLimitHeight, HOME.isCompassCeleing, HOME.compassCeleStatus, HOME.isMultipleFlightModeEnabled, HOME.isBeginnerMode, HOME.isIOCEnabled, HOME.iocMode, HOME.goHomeHeight [ft], HOME.courseLockAngle, HOME.forceLandingHeight [ft], HOME.wind, HOME.dataRecorderFileIndex, RECOVER.appType, RECOVER.appVersion, RECOVER.aircraftName, RECOVER.aircraftSerial, RECOVER.cameraSerial, RECOVER.rcSerial, RECOVER.batterySerial, DETAILS.totalTime [s], DETAILS.totalDistance [ft], DETAILS.maxHeight [ft], DETAILS.maxHorizontalSpeed [MPH], DETAILS.maxVerticalSpeed [MPH], DETAILS.photoNum, DETAILS.videoTime [s], DETAILS.aircraftName, DETAILS.aircraftSerial, DETAILS.cameraSerial, DETAILS.rcSerial, DETAILS.batterySerial, DETAILS.appName, DETAILS.appType, DETAILS.appVersion, APPGPS.latitude, APPGPS.longitude, APPGPS.accuracy, APP.message, APP.tip, APP.warning
6/20/2018,10:54:17.44 PM,0m 0.2s,0.2,39.96121045,-106.21648573,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.8,0,-110.1,249.9,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-108.5,251.5,False,False,False,False,False,True,,True,Normal,,,859,1024,1024,1089,1,False,False,False,False,False,0,False,False,False,False,,,,,25.179,False,4.19,4.201,4.199,4.201,4.199,4.189,0.012,False,False,,,,,,,,False,False,,,,,,,,,,,,,Idle,,,True,,False,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,, 4.2.8,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,691.7,9156.0,144.0,40.0,11.4,0,691,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,,, 4.2.8,,,,,,
6/20/2018,10:54:17.43 PM,0m 0.3s,0.3,39.96121038,-106.21648578,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.8,0,-110.1,249.9,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-108.5,251.5,False,False,False,False,False,True,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,89,,,,25.188,False,4.19,4.201,4.199,4.201,4.199,4.189,0.012,False,False,,,,,,,,False,False,,,,,0,0,0,0,0,0.0,1866.44,,Idle,0,20,False,10,True,Go Home,39.96122263,-106.2164985,5.7,8196.1,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,23.0,Calm,7,, 4.2.8,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,691.7,9156.0,144.0,40.0,11.4,0,691,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,,, 4.2.8,,,,Data Recorder File Index is 7.,,
6/20/2018,10:54:17.53 PM,0m 0.4s,0.4,39.96121036,-106.21648572,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.9,0,-110.1,249.9,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-108.5,251.5,False,False,False,False,False,True,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,89,,,,25.188,False,4.19,4.201,4.199,4.201,4.199,4.189,0.012,False,False,,,,,,,,False,False,,,,,0,0,0,0,0,0.0,1866.44,,Idle,0,20,False,10,True,Go Home,39.96122263,-106.2164985,5.7,8196.1,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,23.0,Calm,7,, 4.2.8,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,691.7,9156.0,144.0,40.0,11.4,0,691,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,,, 4.2.8,,,,,,
6/20/2018,10:54:17.63 PM,0m 0.5s,0.5,39.96121032,-106.2164857,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.8,0,-110.1,249.9,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-108.5,251.5,False,False,False,False,False,True,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,89,,,,25.188,False,4.19,4.201,4.199,4.201,4.199,4.189,0.012,False,False,,,,,,,,False,False,,,,,0,0,0,0,0,0.0,1866.44,,Idle,0,20,False,10,True,Go Home,39.96122263,-106.2164985,5.7,8196.1,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,23.0,Calm,7,, 4.2.8,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,691.7,9156.0,144.0,40.0,11.4,0,691,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,,, 4.2.8,,,,,,
6/20/2018,10:54:17.73 PM,0m 0.6s,0.6,39.96121029,-106.21648568,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.8,0,-110.1,249.9,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-108.5,251.5,False,False,False,False,False,True,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,89,,,,25.188,False,4.19,4.201,4.199,4.201,4.199,4.189,0.012,False,False,,,,,,,,False,False,,,,,0,0,0,0,0,0.0,1866.44,,Idle,0,20,False,10,True,Go Home,39.96122263,-106.2164985,5.8,8196.1,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,23.0,Calm,7,, 4.2.8,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,691.7,9156.0,144.0,40.0,11.4,0,691,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,,, 4.2.8,,,,,,
6/20/2018,10:54:17.84 PM,0m 0.7s,0.7,39.96121029,-106.21648563,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.9,0,-110.1,249.9,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-108.6,251.4,False,False,False,False,False,True,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,89,,,,25.188,False,4.19,4.201,4.199,4.201,4.199,4.189,0.012,False,False,,,,,,,,False,False,,,,,0,0,0,0,0,0.0,1866.44,,Idle,0,20,False,10,True,Go Home,39.96122263,-106.2164985,5.8,8196.1,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,23.0,Calm,7,, 4.2.8,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,691.7,9156.0,144.0,40.0,11.4,0,691,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,,, 4.2.8,,,,,,
6/20/2018,10:54:17.94 PM,0m 0.8s,0.8,39.96121025,-106.2164857,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.8,0,-110.1,249.9,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-108.6,251.4,False,False,False,False,False,True,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,89,,,,25.188,False,4.19,4.201,4.199,4.201,4.199,4.189,0.012,False,False,,,,,,,,False,False,,,,,0,0,0,0,0,0.0,1866.44,,Idle,0,20,False,10,True,Go Home,39.96122263,-106.2164985,5.8,8196.1,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,23.0,Calm,7,, 4.2.8,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,691.7,9156.0,144.0,40.0,11.4,0,691,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,,, 4.2.8,,,,,,
6/20/2018,10:54:18.04 PM,0m 0.9s,0.9,39.96121026,-106.21648568,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.9,0,-110.1,249.9,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-108.6,251.4,False,False,False,False,False,True,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,89,,,,25.188,False,4.19,4.201,4.199,4.201,4.199,4.189,0.012,False,False,4.199,4.199,4.19,4.201,4.191,4.198,0.011,False,False,,,,,0,0,0,0,0,0.0,1866.44,,Idle,0,20,False,10,True,Go Home,39.96122263,-106.2164985,5.8,8196.1,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,23.0,Calm,7,, 4.2.8,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,691.7,9156.0,144.0,40.0,11.4,0,691,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,,, 4.2.8,,,,,,
6/20/2018,10:54:18.14 PM,0m 1.0s,1.0,39.96121025,-106.21648566,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.8,0,-110.1,249.9,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-108.6,251.4,False,False,False,False,False,True,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,89,,,,25.188,False,4.19,4.201,4.199,4.201,4.199,4.189,0.012,False,False,4.199,4.199,4.19,4.201,4.191,4.198,0.011,False,False,,,,,0,0,0,0,0,0.0,1866.44,,Idle,0,20,False,10,True,Go Home,39.96122263,-106.2164985,5.8,8196.1,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,23.0,Calm,7,, 4.2.8,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,691.7,9156.0,144.0,40.0,11.4,0,691,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,,, 4.2.8,,,,,,
6/20/2018,10:54:18.24 PM,0m 1.1s,1.1,39.9612102,-106.21648565,0,0,0.3,8128,0,0,0,0,0,0,0,0,4.9,0,-110.1,249.9,Starting Motors,Other,Takeoff (RC Assisted),16,5,True,,Matrice 210,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-108.6,251.4,False,False,False,False,False,True,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,89,,,,25.188,False,4.19,4.201,4.199,4.201,4.199,4.189,0.012,False,False,4.199,4.199,4.19,4.201,4.191,4.198,0.011,False,False,,,,,0,0,0,0,0,0.0,1866.44,,Idle,0,20,False,10,True,Go Home,39.96122263,-106.2164985,5.8,8196.1,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,23.0,Calm,7,, 4.2.8,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,691.7,9156.0,144.0,40.0,11.4,0,691,DF060,095XF4200202G5,09CLF2B0060023,0JFK4004UN,0KPAF4223101G0,,, 4.2.8,,,,,,
