#,CUSTOM.date [local], CUSTOM.updateTime [local], OSD.flyTime, OSD.flyTime [s], OSD.latitude, OSD.longitude, OSD.height [ft], OSD.heightMax [ft], OSD.vpsHeight [ft], OSD.altitude [ft], OSD.hSpeed [MPH], OSD.hSpeedMax [MPH], OSD.xSpeed [MPH], OSD.xSpeedMax [MPH], OSD.ySpeed [MPH], OSD.ySpeedMax [MPH], OSD.zSpeed [MPH], OSD.zSpeedMax [MPH], OSD.pitch, OSD.roll, OSD.yaw, OSD.yaw [360], OSD.flycState, OSD.flycCommand, OSD.flightAction, OSD.gpsNum, OSD.gpsLevel, OSD.isGPSUsed, OSD.nonGPSCause, OSD.droneType, OSD.isSwaveWork, OSD.waveError, OSD.goHomeStatus, OSD.batteryType, OSD.ctrlDevice, OSD.isOnGround, OSD.isMotorOn, OSD.isMotorBlocked, OSD.motorStartFailedCause, OSD.motorFailReason, OSD.isImuPreheated, OSD.imuInitFailReason, OSD.isAcceletorOverRange, OSD.isBarometerDeadInAir, OSD.isCompassError, OSD.isGoHomeHeightModified, OSD.canIOCWork, OSD.isNotEnoughForce, OSD.isOutOfLimit, OSD.isPropellerCatapult, OSD.isVibrating, OSD.isVisionUsed, OSD.voltageWarning, GIMBAL.mode, GIMBAL.pitch, GIMBAL.roll, GIMBAL.yaw, GIMBAL.yaw [360], GIMBAL.isPitchAtLimit, GIMBAL.isRollAtLimit, GIMBAL.isYawAtLimit, GIMBAL.isStuck, CAMERA.isPhoto, CAMERA.isVideo, CAMERA.filename, CAMERA.sdCardIsInserted, CAMERA.sdCardState, RC.downlinkSignal, RC.uplinkSignal, RC.aileron, RC.elevator, RC.throttle, RC.rudder, RC.mode, RC.goHomeDepressed, RC.recordDepressed, RC.shutterDepressed, RC.playbackDepressed, RC.wheelDepressed, RC.wheelOffset, RC.custom1Depressed, RC.custom2Depressed, RC.custom3Depressed, RC.custom4Depressed, BATTERY.chargeLevel, BATTERY.currentPV [V], BATTERY.currentCapacity [mAh], BATTERY.fullCapacity [mAh], BATTERY.voltage [V], BATTERY.isCellVoltageEstimated, BATTERY.cellVoltage1 [V], BATTERY.cellVoltage2 [V], BATTERY.cellVoltage3 [V], BATTERY.cellVoltage4 [V], BATTERY.maxCellVoltageDeviation, BATTERY.isCellVoltageDeviationHigh, BATTERY.isVoltageLow, BATTERY.current [A], BATTERY.temperature [F], BATTERY.minTemperature [F], BATTERY.maxTemperature [F], BATTERY.usefulTime [s], BATTERY.goHomeTime [s], BATTERY.landTime [s], BATTERY.goHomeBattery, BATTERY.landBattery, BATTERY.safeFlyRadius, BATTERY.volumeConsume, BATTERY.status, BATTERY.goHomeStatus, BATTERY.goHomeCountdown, BATTERY.lowWarning, BATTERY.lowWarningGoHome, BATTERY.seriousLowWarning, BATTERY.seriousLowWarningLanding, BATTERY.timesCharged, MC.failSafeAction, HOME.latitude, HOME.longitude, HOME.distance [ft], HOME.height [ft], HOME.heightLimit [ft], HOME.isHomeRecord, HOME.goHomeMode, HOME.aircraftHeadDirection, HOME.isDynamicHomePointEnabled, HOME.isReachedLimitDistance, HOME.isReachedLimitHeight, HOME.isCompassCeleing, HOME.compassCeleStatus, HOME.isMultipleFlightModeEnabled, HOME.isBeginnerMode, HOME.isIOCEnabled, HOME.iocMode, HOME.goHomeHeight [ft], HOME.courseLockAngle, HOME.forceLandingHeight [ft], HOME.wind, HOME.dataRecorderFileIndex, RECOVER.appType, RECOVER.appVersion, RECOVER.aircraftName, RECOVER.aircraftSerial, RECOVER.cameraSerial, RECOVER.rcSerial, RECOVER.batterySerial, DETAILS.totalTime [s], DETAILS.totalDistance [ft], DETAILS.maxHeight [ft], DETAILS.maxHorizontalSpeed [MPH], DETAILS.maxVerticalSpeed [MPH], DETAILS.photoNum, DETAILS.videoTime [s], DETAILS.aircraftName, DETAILS.aircraftSerial, DETAILS.cameraSerial, DETAILS.rcSerial, DETAILS.batterySerial, DETAILS.appName, DETAILS.appType, DETAILS.appVersion, APPGPS.latitude, APPGPS.longitude, APPGPS.accuracy, APP.message, APP.tip, APP.warning
1,6/29/2017,20:33.5,1m 24.7s,84.7,39.96118563,-106.2165121,0,0,0.3,8128,0,0,0,0,0,0,0,0,-1.8,8.4,98.5,98.5,Starting Motors,Other (34),Takeoff (App Auto),14,5,TRUE,,Phantom 4 Pro,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FPV,0,0,99,99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,93,16.883,5613,6036,16.844,FALSE,4.223,4.226,4.224,4.224,0.003,FALSE,FALSE,64.084,109.3,109.3,109.3,0,2,0,15,10,5963.1,1481.82,,Idle,0,30,FALSE,10,TRUE,0,Go Home,39.9611728,-106.2164945,6.8,8342.8,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,9.8,Calm,4,Android, 4.1.2,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,942.423,8952.1,143,30.7,11.4,9,0,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,,Android, 4.1.2,,,,Data Recorder File Index is 4.,Taking off.,
2,6/29/2017,20:33.7,1m 25.0s,85,39.96118564,-106.2165122,0,0,0.3,8128,0,0,0,0,0,0,0,0,-1.3,8.1,98.5,98.5,Auto Takeoff,Other (34),Takeoff (App Auto),14,5,TRUE,,Phantom 4 Pro,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FPV,0,0,99,99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,93,16.883,5613,6036,16.844,FALSE,4.223,4.226,4.224,4.224,0.003,FALSE,FALSE,64.084,109.3,109.3,109.3,0,2,0,15,10,5963.1,1481.82,,Idle,0,30,FALSE,10,TRUE,0,Go Home,39.9611728,-106.2164945,6.8,8342.8,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,9.8,Calm,4,Android, 4.1.2,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,942.423,8952.1,143,30.7,11.4,9,0,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,,Android, 4.1.2,,,,,,
3,6/29/2017,20:33.8,1m 25.1s,85.1,39.96118565,-106.2165122,0,0,0.3,8128,0,0,0,0,0,0,0,0,-1.5,8.2,98.5,98.5,Auto Takeoff,Other (34),Takeoff (App Auto),14,5,TRUE,,Phantom 4 Pro,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FPV,0,0,99,99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,93,16.883,5613,6036,16.844,FALSE,4.223,4.226,4.224,4.224,0.003,FALSE,FALSE,64.084,109.3,109.3,109.3,0,2,0,15,10,5963.1,1481.82,,Idle,0,30,FALSE,10,TRUE,0,Go Home,39.9611728,-106.2164945,6.8,8342.8,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,9.8,Calm,4,Android, 4.1.2,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,942.423,8952.1,143,30.7,11.4,9,0,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,,Android, 4.1.2,,,,,,
4,6/29/2017,20:34.0,1m 25.2s,85.2,39.96118567,-106.2165122,0,0,0.3,8128,0,0,0,0,0,0,0,0,-1.7,8.1,98.5,98.5,Auto Takeoff,Other (34),Takeoff (App Auto),14,5,TRUE,,Phantom 4 Pro,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FPV,0,0,99,99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,93,16.883,5613,6036,16.844,FALSE,4.223,4.226,4.224,4.224,0.003,FALSE,FALSE,64.084,109.3,109.3,109.3,0,2,0,15,10,5963.1,1481.82,,Idle,0,30,FALSE,10,TRUE,0,Go Home,39.9611728,-106.2164945,6.8,8342.8,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,9.8,Calm,4,Android, 4.1.2,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,942.423,8952.1,143,30.7,11.4,9,0,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,,Android, 4.1.2,,,,,,
5,6/29/2017,20:34.1,1m 25.3s,85.3,39.96118568,-106.2165123,0,0,0.3,8128,0,0,0,0,0,0,0,0,-1.5,8.1,98.5,98.5,Auto Takeoff,Other (34),Takeoff (App Auto),14,5,TRUE,,Phantom 4 Pro,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FPV,0,0,99,99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,93,16.883,5613,6036,16.844,FALSE,4.223,4.226,4.224,4.224,0.003,FALSE,FALSE,64.084,109.3,109.3,109.3,0,2,0,15,10,5963.1,1481.82,,Idle,0,30,FALSE,10,TRUE,0,Go Home,39.9611728,-106.2164945,6.9,8342.8,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,9.8,Calm,4,Android, 4.1.2,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,942.423,8952.1,143,30.7,11.4,9,0,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,,Android, 4.1.2,,,,,,
6,6/29/2017,20:34.2,1m 25.4s,85.4,39.96118566,-106.2165123,0,0,0.3,8128,0,0,0,0,0,0,0,0,-1.4,8.2,98.5,98.5,Auto Takeoff,Other (34),Takeoff (App Auto),14,5,TRUE,,Phantom 4 Pro,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FPV,0,0,99,99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,93,16.883,5613,6036,16.844,FALSE,4.223,4.226,4.224,4.224,0.003,FALSE,FALSE,64.084,109.3,109.3,109.3,0,2,0,15,10,5963.1,1481.82,,Idle,0,30,FALSE,10,TRUE,0,Go Home,39.9611728,-106.2164945,6.8,8342.8,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,9.8,Calm,4,Android, 4.1.2,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,942.423,8952.1,143,30.7,11.4,9,0,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,,Android, 4.1.2,,,,,,
7,6/29/2017,20:34.3,1m 25.5s,85.5,39.96118566,-106.2165123,0,0,0.3,8128,0,0,0,0,0,0,0,0,-1.6,8.5,98.5,98.5,Auto Takeoff,Other (34),Takeoff (App Auto),14,5,TRUE,,Phantom 4 Pro,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FPV,0,0,99,99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,93,16.883,5613,6036,16.844,FALSE,4.223,4.226,4.224,4.224,0.003,FALSE,FALSE,64.084,109.3,109.3,109.3,0,2,0,15,10,5963.1,1481.82,,Idle,0,30,FALSE,10,TRUE,0,Go Home,39.9611728,-106.2164945,6.8,8342.8,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,9.8,Calm,4,Android, 4.1.2,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,942.423,8952.1,143,30.7,11.4,9,0,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,,Android, 4.1.2,,,,,,
8,6/29/2017,20:34.6,1m 25.7s,85.7,39.96118557,-106.2165123,0,0,0.3,8128,0,0,-0.2,0,0,0,0,0,-0.1,4.9,98.8,98.8,Auto Takeoff,Other (34),Takeoff (App Auto),14,5,TRUE,,Phantom 4 Pro,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FPV,0,0,98.9,98.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,93,16.883,5613,6036,16.844,FALSE,4.223,4.226,4.224,4.224,0.003,FALSE,FALSE,64.084,109.3,109.3,109.3,0,2,0,15,10,5963.1,1481.82,,Idle,0,30,FALSE,10,TRUE,0,Go Home,39.9611728,-106.2164945,6.8,8342.8,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,9.8,Calm,4,Android, 4.1.2,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,942.423,8952.1,143,30.7,11.4,9,0,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,,Android, 4.1.2,,,,,,
9,6/29/2017,20:34.7,1m 26.0s,86,39.9611849,-106.2165124,0,0,0.7,8128,0,0,-0.7,0,0,0,-1.1,0,0.4,-0.5,98.8,98.8,Auto Takeoff,Other (34),Takeoff (App Auto),14,5,TRUE,,Phantom 4 Pro,TRUE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FPV,0,0,98.9,98.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,93,16.883,5613,6036,16.844,FALSE,4.223,4.226,4.224,4.224,0.003,FALSE,FALSE,64.084,109.3,109.3,109.3,0,2,0,15,10,5963.1,1481.82,,Idle,0,30,FALSE,10,TRUE,0,Go Home,39.9611728,-106.2164945,6.7,8342.8,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,9.8,Calm,4,Android, 4.1.2,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,942.423,8952.1,143,30.7,11.4,9,0,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,,Android, 4.1.2,,,,,,
10,6/29/2017,20:34.9,1m 26.2s,86.2,39.96118441,-106.2165126,0.7,0.7,1,8128,0,0,-0.5,0,0.2,0.2,-1.3,0,0.5,-2.6,98.9,98.9,Auto Takeoff,Other (34),Takeoff (App Auto),14,5,TRUE,,Phantom 4 Pro,TRUE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FPV,0,0,99,99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,93,16.829,5613,6036,16.809,FALSE,4.215,4.216,4.211,4.21,0.006,FALSE,FALSE,62.526,109.3,109.3,109.3,0,2,0,15,10,5963.1,1510.39,,Idle,0,30,FALSE,10,TRUE,0,Go Home,39.9611728,-106.2164945,6.6,8342.8,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,9.8,Calm,4,Android, 4.1.2,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,942.423,8952.1,143,30.7,11.4,9,0,df005,07JDE5300200GN,0BDDE5900100GD,0CKJ2026ZD,0DQAE5S03205Z9,,Android, 4.1.2,,,,,,
